"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-05	2022-02-05 10:03:13	571	"c1931 "	15605	0	127944	39	124672	578	3	1	"01103F6817"	"F02"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"40"
2022-02-05	2022-02-05 10:06:29	99	"c1931 "	15605	0	127944	39	124672	576	3	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"2821"
2022-02-05	2022-02-05 10:07:08	422	"c1931 "	15605	0	129944	33	124672	312	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"39"
2022-02-05	2022-02-05 10:07:12	294	"c1931 "	15605	0	2872	118	124672	2406	16	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-05	2022-02-05 10:07:37	170	"c1931 "	15605	0	123944	70	124416	1190	8	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"25"
2022-02-05	2022-02-05 10:08:07	569	"c1931 "	15605	0	127945	40	124672	512	3	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"30"
2022-02-05	2022-02-05 10:08:12	644	"c1931 "	15605	0	127943	47	124928	544	4	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"5"
2022-02-05	2022-02-05 10:08:19	22	"c1931 "	15605	0	127943	28	124672	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-05	2022-02-05 10:15:37	448	"c1931 "	15605	0	121943	53	124672	728	5	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"8033"
2022-02-05	2022-02-05 10:17:12	695	"c1931 "	15605	0	7942	30	124672	141	1	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"95"
