"Date"	"Hmsec"	"CounterID"	"RFID"	"BtwVisitInterval"	"WtnVisitInterval"
2019-05-01 11:40:55	" 110 "	"c1254 "	"04194821CD"	77	77
2019-05-01 11:41:06	" 841 "	"c1254 "	"04194821CD"	11	11
2019-05-01 11:42:30	" 221 "	"c1254 "	"04194821CD"	84	84
2019-05-01 11:42:37	" 199 "	"c1254 "	"04194821CD"	7	7
2019-05-01 11:44:34	" 614 "	"c1254 "	"04194821CD"	117	117
2019-05-01 11:44:42	"  19 "	"c1254 "	"04194821CD"	8	8
2019-05-01 11:50:30	" 951 "	"c1254 "	"04194821CD"	348	348
2019-05-01 11:50:42	" 417 "	"c1254 "	"04194821CD"	12	12
2019-05-01 11:53:22	" 473 "	"c1254 "	"04194821CD"	3	160
2019-05-01 11:53:33	" 252 "	"c1254 "	"04194821CD"	11	11
2019-05-01 11:54:10	" 618 "	"c1254 "	"04194821CD"	37	37
2019-05-01 11:54:15	" 501 "	"c1254 "	"04194821CD"	5	5
2019-05-01 11:55:38	"   4 "	"c1254 "	"04194821CD"	35	83
2019-05-01 11:55:50	" 490 "	"c1254 "	"04194821CD"	12	12
2019-05-01 11:56:27	" 836 "	"c1254 "	"04194821CD"	37	37
2019-05-01 11:56:54	" 156 "	"c1254 "	"04194821CD"	7	27
2019-05-01 11:58:03	" 353 "	"c1254 "	"04194821CD"	26	69
2019-05-01 11:58:21	" 483 "	"c1254 "	"04194821CD"	18	18
2019-05-01 11:58:50	" 507 "	"c1254 "	"04194821CD"	13	29
2019-05-01 11:58:51	" 713 "	"c1254 "	"04194821CD"	1	1
2019-05-01 11:59:01	" 470 "	"c1254 "	"04194821CD"	8	10
2019-05-01 11:59:52	" 670 "	"c1254 "	"04194821CD"	22	51
2019-05-01 12:00:03	" 380 "	"c1254 "	"04194821CD"	11	11
2019-05-01 12:01:22	"1054 "	"c1254 "	"04194821CD"	13	79
2019-05-01 12:01:36	"1146 "	"c1254 "	"04194821CD"	14	14
2019-05-01 12:04:04	" 515 "	"c1254 "	"04194821CD"	72	148
2019-05-01 12:04:15	" 418 "	"c1254 "	"04194821CD"	4	11
2019-05-01 12:05:35	" 191 "	"c1254 "	"04194821CD"	17	80
2019-05-01 12:05:50	"  81 "	"c1254 "	"04194821CD"	15	15
2019-05-01 12:08:20	" 965 "	"c1254 "	"04194821CD"	3	150
2019-05-01 12:08:31	" 312 "	"c1254 "	"04194821CD"	11	11
2019-05-01 12:09:21	" 887 "	"c1254 "	"04194821CD"	50	50
2019-05-01 12:09:39	" 182 "	"c1254 "	"04194821CD"	18	18
2019-05-01 12:10:13	"  84 "	"c1254 "	"04194821CD"	34	34
2019-05-01 12:10:25	" 977 "	"c1254 "	"04194821CD"	12	12
2019-05-01 12:11:00	" 791 "	"c1254 "	"04194821CD"	1	35
2019-05-01 12:11:19	" 177 "	"c1254 "	"04194821CD"	19	19
2019-05-01 12:12:23	" 556 "	"c1254 "	"04194821CD"	15	64
2019-05-01 12:12:37	" 762 "	"c1254 "	"04194821CD"	14	14
2019-05-01 12:15:59	"  12 "	"c1254 "	"04194821CD"	3	202
2019-05-01 12:16:09	"  82 "	"c1254 "	"04194821CD"	10	10
2019-05-01 12:33:13	" 563 "	"c1254 "	"04194821CD"	11	1024
2019-05-01 12:34:44	"1140 "	"c1254 "	"04194821CD"	28	91
2019-05-01 12:34:50	" 221 "	"c1254 "	"04194821CD"	6	6
2019-05-01 12:35:37	" 488 "	"c1254 "	"04194821CD"	22	47
2019-05-01 12:35:50	" 181 "	"c1254 "	"04194821CD"	13	13
2019-05-01 12:36:22	"1042 "	"c1254 "	"04194821CD"	15	32
2019-05-01 12:36:39	" 686 "	"c1254 "	"04194821CD"	17	17
2019-05-01 12:58:21	"  53 "	"c1254 "	"04194821CD"	5	1302
2019-05-01 12:58:25	" 768 "	"c1254 "	"04194821CD"	4	4
2019-05-01 12:59:01	"1160 "	"c1254 "	"04194821CD"	36	36
2019-05-01 12:59:16	" 208 "	"c1254 "	"04194821CD"	15	15
2019-05-01 13:00:01	" 955 "	"c1254 "	"04194821CD"	45	45
2019-05-01 13:00:07	" 149 "	"c1254 "	"04194821CD"	6	6
2019-05-01 13:03:57	" 509 "	"c1254 "	"04194821CD"	2	230
2019-05-01 13:04:04	" 572 "	"c1254 "	"04194821CD"	7	7
2019-05-01 13:05:55	" 470 "	"c1254 "	"04194821CD"	80	111
2019-05-01 13:06:01	"1160 "	"c1254 "	"04194821CD"	6	6
2019-05-01 13:11:34	" 271 "	"c1254 "	"04194821CD"	6	333
2019-05-01 13:11:46	"1007 "	"c1254 "	"04194821CD"	12	12
2019-05-01 13:16:03	" 766 "	"c1254 "	"04194821CD"	13	257
2019-05-01 13:16:16	"  77 "	"c1254 "	"04194821CD"	13	13
