F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:52:54	 981 	c1937 	 2891 	u   	d    	286474 	   82
D 	2022-02-07 10:52:55	   7 	c1937 	 2891 	u   	d    	286474 	   82
D 	2022-02-07 10:52:55	  57 	c1937 	 2891 	u   	d    	286474 	   82
D 	2022-02-07 10:52:55	 108 	c1937 	 2891 	d   	u    	210759 	 -104
D 	2022-02-07 10:57:55	 209 	c1937 	 2892 	u   	d    	294815 	  103
D 	2022-02-07 10:57:55	 258 	c1937 	 2892 	u   	d    	294815 	  103
D 	2022-02-07 10:57:55	 308 	c1937 	 2892 	u   	d    	294815 	  103
D 	2022-02-07 10:57:55	 358 	c1937 	 2892 	u   	d    	294815 	  103
D 	2022-02-07 10:57:55	 659 	c1937 	 2892 	d   	u    	259155 	   14
D 	2022-02-07 11:05:14	 736 	c1937 	 2893 	u   	d    	338808 	  211
D 	2022-02-07 11:05:14	 785 	c1937 	 2893 	u   	d    	338808 	  211
D 	2022-02-07 11:05:15	 312 	c1937 	 2893 	d   	u    	245848 	  -17
D 	2022-02-07 11:06:08	 183 	c1937 	 2894 	u   	d    	188179 	  465
D 	2022-02-07 11:06:08	 231 	c1937 	 2894 	u   	d    	188179 	  465
D 	2022-02-07 11:06:08	 281 	c1937 	 2894 	u   	d    	188179 	  465
D 	2022-02-07 11:06:08	 331 	c1937 	 2894 	u   	d    	188179 	  465
D 	2022-02-07 11:06:09	 209 	c1937 	 2894 	d   	u    	188308 	    0
D 	2022-02-07 11:06:11	 611 	c1937 	 2895 	u   	d    	293539 	  195
D 	2022-02-07 11:06:11	 659 	c1937 	 2895 	u   	d    	293539 	  195
D 	2022-02-07 11:06:11	 709 	c1937 	 2895 	u   	d    	293539 	  195
D 	2022-02-07 11:06:11	 759 	c1937 	 2895 	u   	d    	293539 	  195
D 	2022-02-07 11:06:30	 282 	c1937 	 2895 	d   	u    	197968 	   23
D 	2022-02-07 11:06:35	 955 	c1937 	 2896 	u   	d    	223923 	   85
D 	2022-02-07 11:06:35	1004 	c1937 	 2896 	u   	d    	223923 	   85
D 	2022-02-07 11:06:36	 381 	c1937 	 2896 	d   	u    	199487 	   27
D 	2022-02-07 11:06:38	 183 	c1937 	 2897 	u   	d    	311130 	  296
D 	2022-02-07 11:06:38	 232 	c1937 	 2897 	u   	d    	311130 	  296
D 	2022-02-07 11:06:38	 282 	c1937 	 2897 	u   	d    	311130 	  296
D 	2022-02-07 11:06:38	 332 	c1937 	 2897 	u   	d    	311130 	  296
D 	2022-02-07 11:06:39	 959 	c1937 	 2897 	d   	u    	200706 	   29
D 	2022-02-07 11:06:55	 961 	c1937 	 2898 	u   	d    	230789 	  102
D 	2022-02-07 11:06:55	1010 	c1937 	 2898 	u   	d    	230789 	  102
D 	2022-02-07 11:07:05	 757 	c1937 	 2898 	d   	u    	157278 	  -74
D 	2022-02-07 11:07:06	 933 	c1937 	 2899 	u   	d    	337121 	  358
D 	2022-02-07 11:07:06	 982 	c1937 	 2899 	u   	d    	337121 	  358
